,precision,recall,f1-score,support
Billing and Payments,0.8078291814946619,0.8121645796064401,0.8099910793933988,559.0
Customer Service,0.5732899022801303,0.6182669789227166,0.5949295774647887,854.0
General Inquiry,0.6825396825396826,0.5308641975308642,0.5972222222222222,81.0
Human Resources,0.7037037037037037,0.6608695652173913,0.6816143497757847,115.0
IT Support,0.6043956043956044,0.6973684210526315,0.6486486486486487,1064.0
Product Support,0.5659630606860158,0.6285714285714286,0.5951515151515152,1050.0
Sales and Marketing,0.6790123456790124,0.5323741007194245,0.5978260869565217,278.0
Service and Support,0.6056338028169014,0.6196078431372549,0.6124999999999999,1020.0
Technical Support,0.6097560975609756,0.6200000000000001,0.6146341463414634,1000.0
Other,0.6902654867256637,0.5436893203883495,0.607843137254902,693.0
accuracy,0.647604057359916,0.647604057359916,0.647604057359916,5718.0
macro avg,0.6527883031409307,0.6295116073639998,0.6477530358910685,5718.0
weighted avg,0.647216567321988,0.647604057359916,0.6466389680696074,5718.0
