,Billing and Payments,Customer Service,General Inquiry,Human Resources,IT Support,Product Support,Returns and Exchanges,Sales and Pre-Sales,Service Outages and Maintenance,Technical Support
Billing and Payments,454,37,2,2,8,18,9,3,1,25
Customer Service,22,528,5,6,38,83,20,20,14,118
General Inquiry,0,10,43,0,7,6,2,2,1,10
Human Resources,3,11,1,76,3,9,3,3,1,5
IT Support,15,46,3,6,405,43,9,7,11,142
Product Support,23,105,5,9,62,588,25,16,13,205
Returns and Exchanges,12,37,1,1,12,26,163,2,2,31
Sales and Pre-Sales,4,21,1,1,7,18,4,103,2,22
Service Outages and Maintenance,2,6,0,0,10,9,0,0,185,17
Technical Support,27,120,2,7,132,157,27,14,28,1158
